plot_id,Waldges,WG_Nr,Stadium,Boxplot,Hoehe,Hydro,B123,Vegtyp1,Vegtyp2,Stoerung,Konifer_prozent,Laubb_prozent,Exposit,Neig,Wachstum,Reife,Verjuengung,Plenter,Mortal
989PtVS,Bazzanio-Piceetum,5,3,3,711,2,43,4,4,0,"385,344",0,"0,38268343",6,0,0,1,0,0
990PtVS,Bazzanio-Piceetum,5,3,1,747,3,73,2,2,0,73,0,"-0,92387953",1,0,0,1,0,0
991PtVS,Bazzanio-Piceetum,5,3,1,631,3,"45,85",1,1,0,"34,144",0,"-0,38268343",3,0,0,1,0,0
992PtWS,Bazzanio-Piceetum,5,1,2,641,3,"60,94",3,3,0,"51,98",20,"0,38268343",2,1,0,0,0,0
993PtWS,Bazzanio-Piceetum,5,1,1,745,2,"57,25",1,1,0,"56,8",0,"-0,38268343",0,1,0,0,0,0
994PtWS,Bazzanio-Piceetum,5,1,2,632,2,"68,32",3,3,0,"68,16",0,"-0,38268343",5,1,0,0,0,0
995PtWS,Bazzanio-Piceetum,5,1,12,785,3,62,10,8,1,"61,6",0,"-0,38268343",3,1,0,0,0,0
996PtWS,Bazzanio-Piceetum,5,1,3,674,2,64,4,4,0,"61,12",0,"0,38268343",6,1,0,0,0,0
997PtMS,Bazzanio-Piceetum,5,5,3,746,3,"5,95",4,4,1,4,"0,5","0,92387953",3,0,0,0,0,1
998PtMS,Bazzanio-Piceetum,5,5,1,744,3,"5,95",1,1,0,"4,48",0,"-0,92387953",0,0,0,0,0,1
999PtMS,Bazzanio-Piceetum,5,5,3,814,2,0,4,4,1,0,0,"0,92387953",2,0,0,0,0,1
1000PtMS,Bazzanio-Piceetum,5,5,2,734,2,10,3,3,1,10,0,"0,92387953",0,0,0,0,0,1
