SPECIES_NR;LETTERCODE;ABBREVIAT;RANG;GRUPPE;GATT_NAME;FAMILY;Z_OEK_L;OEK_L;Z_OEK_T;OEK_T;Z_OEK_K;OEK_K;Z_OEK_F;OEK_F;WASSERREGI;Z_OEK_R;OEK_R;Z_OEK_N;OEK_N;Z_OEK_S;OEK_S;Z_OEK_TO;OEK_TO;Z_OEK_SU;OEK_SU;Z_OEK_SON;OEK_SON;Z_LF_LEB;LF_LEB;Z_LF_B;LF_B;WUCHS_1;WUCHS_2;WUCHS_3;Z_SZ_V_GR;SZ_VERH_GR;Z_SZ_V_K;SZ_VERH_K;Z_SZ_O;SZ_O;Z_SZ_V;SZ_V;Z_SZ_U;SZ_U;Arealforme;Vorkommen;HEMEROBIE;Gilde;Mahdvertra;Weidevertr;Trittvertr;Futterwert;FutterDamw;Waldart_D
2355;FGPYESC;Fagopyrum esculentum;SPE;S;Fagopyrum;Polygonaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;cp;;0;0;0;0;0;
2356;FGPYTAT;Fagopyrum tataricum;SPE;S;Fagopyrum;Polygonaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;p;;0;0;0;0;0;
2357;FAGSSYL;Fagus sylvatica;SPE;S;Fagus;Fagaceae;;3;;5;;2;;5;;x;0;x;0;;0;;;;;;;;P;;S;;;;;8;;4;;3;;0;;0;;;omb;;0;0;0;0;0;B1.1
2358;FLCRVUL;Falcaria vulgaris;SPE;S;Falcaria;Apiaceae;;7;;7;;6;;3;;;9;x;0;;0;;;;;;;;H;;S;;;;!;3;!;6;!;1;!;1;;0;;;ombc;;0;0;0;0;0;
2359;FLLPCON;Fallopia convolvulus;SPE;S;Fallopia;Polygonaceae;;7;;6;;0;;5;;x;0;!;6;;0;;;;;;;;Tli;;S;;;;!;3;!;4;;0;;0;;0;;;cp;;0;0;0;0;0;
2360;FLLPDUM;Fallopia dumetorum;SPE;S;Fallopia;Polygonaceae;;6;;6;;4;;5;;x;0;;7;;0;;;;;;;;Tli;;S;;;;;3;;5;;3;;2;;0;;;mb;;0;0;0;0;0;K2.2
2363;FSTCALP;Festuca alpina;SPE;S;Festuca;Poaceae;;8;;1;;2;;3;;;9;;1;;0;;;;;;;;H;;S;;;;;4;;2;;1;;1;;0;;;;;0;0;0;0;0;
2364;FSTCALT;Festuca altissima;SPE;S;Festuca;Poaceae;;3;;5;;3;;5;;;4;;6;;0;;;;;;;;H;;W;;;;;8;;4;;3;;1;;0;;;om;;0;0;0;0;0;K1.1
2365;FSTCAME;Festuca amethystina;SPE;S;Festuca;Poaceae;;6;;5;;4;;3;~;;8;;2;;0;;;;;;;;H;;W;;;;;7;;1;;1;;1;;0;;;;;0;0;0;0;0;K2.1
2366;FSTCA-A;Festuca amethystina subsp. amethystina;SSP;S;Festuca;Poaceae;;6;;5;;4;;3;~;;8;;2;;0;;;;;;;;H;;W;;;;;7;;1;;1;;1;;0;;;;;0;0;0;0;0;
2367;FSTCA-R;Festuca amethystina subsp. ritschlii;SSP;S;Festuca;Poaceae;;6;;5;;4;;3;~;;8;;2;;0;;;;;;;;H;;W;;;;;7;;1;;1;;1;;0;;;;;0;0;0;0;0;
2368;FSTCARU;Festuca arundinacea;SPE;S;Festuca;Poaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;GE;;G;7;6;7;5;0;K2.2
2369;FSTCU-A;Festuca arundinacea subsp. arundinacea;SSP;S;Festuca;Poaceae;;8;;5;;0;;7;~;;7;;5;;2;;;;;;;;H;;W;;;;;3;;8;;1;;1;;0;;;m;;0;0;0;0;0;
2376;FSTCGIG;Festuca gigantea;SPE;S;Festuca;Poaceae;;4;;5;;3;;7;;;6;;6;;0;;;;;;;;H;;S;;;;;8;;4;;3;;3;;0;;;om;;0;0;0;0;0;K1.1
2383;FSTCHET;Festuca heterophylla;SPE;S;Festuca;Poaceae;;5;;6;;4;;4;;;5;;5;;0;;;;;;;;H;;S;;;;;8;;4;;0;;0;;0;;;om;;0;0;0;0;0;K1.1
2391;FSTCDUV;Festuca duvalii;SPE;S;Festuca;Poaceae;;9;;8;;7;;1;;;8;;1;;0;;;;;;;;H;;S;;;;!;5;!;3;!;1;!;1;;0;;;;;0;0;0;0;0;
