"Plot" "Species" "Height" "SLA"
"1622" 27 "Bro_rub" 10 32.98361
"1623" 27 "Bro_rub" 11 30.0463
"1624" 27 "Bro_rub" 11.5 29.45409
"1625" 27 "Bro_rub" 14 34.45804
"1626" 27 "Bro_rub" 14 20.09202
"1627" 27 "Ech_pla" 35 21.49153625
"1628" 27 "Ech_pla" 33 17.51559633
"1629" 27 "Ech_pla" 32 23.97712834
"1630" 27 "Ech_pla" 32 20.5499827
"1631" 27 "Ech_pla" 33 19.74049708
"1632" 27 "Ech_pla" 36 21.3278856
"1633" 27 "Ech_pla" 31 21.22409073
"1634" 27 "Ech_pla" 35 31.64295875
"1635" 27 "Ech_pla" 25 18.48859117
"1636" 27 "Ech_pla" 34 21.88141769
"1637" 27 "Hor_mur" 8 27.77465
"1638" 27 "Hor_mur" 16 48.8946
"1639" 27 "Hor_mur" 19 47.77228
"1640" 27 "Hor_mur" 19 31.2368
"1641" 27 "Hor_mur" 23 41.9337
"1642" 27 "Hor_mur" 20 33.48028
"1643" 27 "Hor_mur" 20 37.74194
"1644" 27 "Hor_mur" 16 32.84302
"1645" 27 "Hor_mur" 16 37.92049
"1646" 27 "Pla_lag" 11.5 35.27499
"1647" 27 "Pla_lag" 12 29.48052
"1648" 27 "Pla_lag" 10.5 27.21927
"1649" 27 "Pla_lag" 6 32.68229
"1650" 27 "Pla_lag" 12 30.39541
"1651" 27 "Pla_lag" 13 23.88787
"1652" 27 "Pla_lag" 12 28.0253
"1653" 27 "Pla_lag" 10 41.50233
"1654" 27 "Pla_lag" 10 29.77429
"1655" 27 "Pla_lag" 9 30.03797
"1656" 27 "Sis_cav" 49 18.751
"1657" 27 "Sis_cav" 42 23.67244
"1658" 27 "Sis_cav" 38 20.87982
"1659" 27 "Sis_cav" 40 17.15592
"1660" 27 "Sis_cav" 23 12.10473
"1661" 27 "Sis_cav" 39 14.14909
"1662" 27 "Sis_cav" 22 25.109
"1663" 27 "Sis_cav" 36 23.33558
"1664" 27 "Sis_cav" 35 16.87208
"1665" 27 "Sis_cav" 28 20.09675
"1666" 27 "Tri_str" 5.3 22.35
"1667" 27 "Tri_str" 4.8 23.69863
"1668" 27 "Tri_str" 3.2 24.57505
"1669" 27 "Tri_str" 3.1 22.91667
"1670" 27 "Tri_str" 3.3 23.89587
"1671" 27 "Tri_str" 3.8 22.44131
"1672" 27 "Tri_str" 3 24.39589
"1673" 27 "Tri_str" 3.6 26.70886
"1674" 27 "Tri_str" 4.5 20.98063
"1675" 27 "Tri_str" 6 18.25635
"1811" 31 "Ant_arv" 18 22.13507625
"1812" 31 "Ant_arv" 22 27.91869919
"1813" 31 "Ant_arv" 20 27.97966963
"1814" 31 "Ant_arv" 23 24.45967742
"1815" 31 "Ant_arv" 23 27.51861042
"1816" 31 "Ant_arv" 30 21.19760479
"1817" 31 "Ant_arv" 16 24.5540797
"1818" 31 "Ant_arv" 20 30.30042918
"1819" 31 "Ant_arv" 19 32.48044693
"1820" 31 "Ant_arv" 15 29.00921659
"1821" 31 "Bis_pel" 8 44.01206637
"1822" 31 "Bis_pel" 9 41.95571956
"1823" 31 "Bis_pel" 7 44.54361055
"1824" 31 "Bis_pel" 4.3 29.21299639
"1825" 31 "Bis_pel" 7.5 34.36060365
"1826" 31 "Bis_pel" 5.2 48.00792864
"1827" 31 "Bis_pel" 7.1 39.96815287
"1828" 31 "Bis_pel" 12 49.84761905
"1829" 31 "Bis_pel" 9.5 53.52731591
"1830" 31 "Bis_pel" 7.3 45.43650794
"1831" 31 "Bro_rub" 11 32.77202073
"1832" 31 "Bro_rub" 13 37.90229885
"1833" 31 "Bro_rub" 17 38.48857645
"1834" 31 "Bro_rub" 9 27.48427673
"1835" 31 "Bro_rub" 12 27.77150917
"1836" 31 "Bro_rub" 15 26.36363636
"1837" 31 "Bro_rub" 13 25.83657588
"1838" 31 "Bro_rub" 15 31.37524558
"1839" 31 "Bro_rub" 14 33.1127451
"1840" 31 "Bro_rub" 10 40.52109181
"1841" 31 "Med_sat" 13 24.52423698
"1842" 31 "Med_sat" 8 34.10628019
"1843" 31 "Med_sat" 15 27.08182476
"1844" 31 "Med_sat" 16 18.4
"1845" 31 "Med_sat" 12 23.35892514
"1846" 31 "Med_sat" 13 20.15961692
"1847" 31 "Med_sat" 14 31.27764128
"1848" 31 "Med_sat" 10 34.90486258
"1849" 31 "Med_sat" 9 29.52655889
"1850" 31 "Med_sat" 13 28.61236802
"1851" 31 "Pla_lag" 9 34.44279346
"1852" 31 "Pla_lag" 14 34.88623216
"1853" 31 "Pla_lag" 13 24.26768278
"1854" 31 "Pla_lag" 14 25.8028169
"1855" 31 "Pla_lag" 13.5 24.96767608
"1856" 31 "Pla_lag" 12 32.34866828
"1857" 31 "Pla_lag" 15 26.24009424
"1858" 31 "Pla_lag" 14.5 30.83288984
"1859" 31 "Pla_lag" 12 34.02548726
"1860" 31 "Pla_lag" 14 24.61887377
"1861" 31 "Tri_che" 8 23.26047359
"1862" 31 "Tri_che" 6 25.10578279
"1863" 31 "Tri_che" 7 27.3525557
"1864" 31 "Tri_che" 5 26.46258503
"1865" 31 "Tri_che" 3.5 23.07593308
"1866" 31 "Tri_che" 9 23.93678161
"1867" 31 "Tri_che" 10 21.96581197
"1868" 31 "Tri_che" 4 21.81818182
"1869" 31 "Tri_che" 8 26.28865979
"1870" 31 "Tri_che" 9 22.15246637
"2142" 36 "Ant_arv" 22 20.32925682
"2143" 36 "Ant_arv" 21 30.1891253
"2144" 36 "Ant_arv" 19 29.58041958
"2145" 36 "Ant_arv" 20 29.82089552
"2146" 36 "Ant_arv" 20 37.16346154
"2147" 36 "Ant_arv" 22 30.5025641
"2148" 36 "Ant_arv" 21 29.13649025
"2149" 36 "Ant_arv" 35 21.77762833
"2150" 36 "Ant_arv" 24 33.70454545
"2151" 36 "Ant_arv" 20 31.45251397
"2152" 36 "Bis_pel" 7.5 32.05784732
"2153" 36 "Bis_pel" 8 33.91006843
"2154" 36 "Bis_pel" 5.3 37.72919605
"2155" 36 "Bis_pel" 4.5 35.4799514
"2156" 36 "Bis_pel" 3.2 45.65693431
"2157" 36 "Bis_pel" 4 41.45488029
"2158" 36 "Bis_pel" 6.8 39.78021978
"2159" 36 "Bis_pel" 4.9 34.51550388
"2160" 36 "Bis_pel" 6.7 31.13057325
"2161" 36 "Bis_pel" 5.5 41.38228942
"2162" 36 "Nea_apu" 22 19.76430976
"2163" 36 "Nea_apu" 15 20
"2164" 36 "Nea_apu" 15 13.98601399
"2165" 36 "Nea_apu" 16 16.6507177
"2166" 36 "Nea_apu" 17 16.34615385
"2167" 36 "Nea_apu" 13 27.79761905
"2168" 36 "Nea_apu" 14 30.24154589
"2169" 36 "Nea_apu" 12 27.68041237
"2170" 36 "Nea_apu" 14 23.02788845
"2171" 36 "Nea_apu" 11 29.36
"2172" 36 "Orn_com" 15 28.74476987
"2173" 36 "Orn_com" 11 36.74669868
"2174" 36 "Orn_com" 9 46.07806691
"2175" 36 "Orn_com" 12 33.73500261
"2176" 36 "Orn_com" 9 32.48894504
"2177" 36 "Orn_com" 11 33.11688312
"2178" 36 "Orn_com" 8 29.90774908
"2179" 36 "Orn_com" 15 32.40196078
"2180" 36 "Orn_com" 21 33.79840849
"2181" 36 "Orn_com" 9.5 28.88162672
"2182" 36 "Pla_lag" 6.5 21.76691729
"2183" 36 "Pla_lag" 8.4 26.34243837
"2184" 36 "Pla_lag" 8.5 25.88516746
"2185" 36 "Pla_lag" 11 30.93006489
"2186" 36 "Pla_lag" 9.8 27.97337278
"2187" 36 "Pla_lag" 8.3 32.96666667
"2188" 36 "Pla_lag" 8.2 39.8603352
"2189" 36 "Pla_lag" 8.4 35.55203046
"2190" 36 "Pla_lag" 9 30.50526316
"2191" 36 "Pla_lag" 12 31.4893617
"2192" 36 "Tri_che" 13 20.98550725
"2193" 36 "Tri_che" 15 24.66872111
"2194" 36 "Tri_che" 15 31.85915493
"2195" 36 "Tri_che" 15 22.72820513
"2196" 36 "Tri_che" 13 29.58815959
"2197" 36 "Tri_che" 9 29.69879518
"2198" 36 "Tri_che" 11 31.52272727
"2199" 36 "Tri_che" 9.5 31.66184971
"2200" 36 "Tri_che" 10 30.43771044
"2350" 40 "Ant_arv" 10.5 29.45736434
"2351" 40 "Ant_arv" 8.3 24.9287169
"2352" 40 "Ant_arv" 12.1 34.51851852
"2353" 40 "Ant_arv" 14 24.76351351
"2354" 40 "Ant_arv" 10 23.24723247
"2355" 40 "Ant_arv" 18.8 17.84975086
"2356" 40 "Ant_arv" 16.4 21.33084577
"2357" 40 "Ant_arv" 18.1 27.46588694
"2358" 40 "Ant_arv" 16 27.34708393
"2359" 40 "Ant_arv" 8.5 20.60402685
"2360" 40 "Bel_tri" 17 23.79672897
"2361" 40 "Bel_tri" 17.3 28.64864865
"2362" 40 "Bel_tri" 25.3 26.54889071
"2363" 40 "Bel_tri" 16.5 25.41950113
"2364" 40 "Bel_tri" 23.6 22.99004975
"2365" 40 "Bel_tri" 19 26.50259067
