name,nomenclature,nameTraits,layer,lifeform,lifeformEllenberg,legal,rlg,rlb,neophyte,continuity
Cornus_sanguinea,http://www.worldfloraonline.org/taxon/wfo-0000924828,Cornus_sanguinea,herb,wood,N,NA,NA,NA,no,12
Corydalis_cava,http://www.worldfloraonline.org/taxon/wfo-0000622173,Corydalis_cava,herb,perannual,G,NA,NA,NA,no,7
Crataegus_monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,Crataegus_monogyna,herb,wood,N.P,NA,NA,NA,no,12
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,Dactylis_glomerata,herb,perannual,H,NA,NA,NA,no,1
Daphne_mezereum,http://www.worldfloraonline.org/taxon/wfo-0000637755,Daphne_mezereum,herb,wood,N.Z,BG,NA,NA,no,2
Deschampsia_cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,Deschampsia_cespitosa,herb,perannual,H,NA,NA,NA,no,14
Dipsacus_pilosus,http://www.worldfloraonline.org/taxon/wfo-0000651050,Dipsacus_pilosus,herb,perannual,H,NA,NA,3,no,1
Dryopteris_carthusiana,http://www.worldfloraonline.org/taxon/wfo-0001107298,Dryopteris_carthusiana,herb,perannual,H,NA,NA,NA,no,1
Equisetum_arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,Equisetum_arvense,herb,perannual,G,NA,NA,NA,no,9
Equisetum_hyemale,http://www.worldfloraonline.org/taxon/wfo-0000748047,Equisetum_hyemale,herb,perannual,C,NA,NA,NA,no,4
Eupatorium_cannabinum,http://www.worldfloraonline.org/taxon/wfo-0000035116,Eupatorium_cannabinum,herb,perannual,H,NA,NA,NA,no,15
Fagus_sylvatica,http://www.worldfloraonline.org/taxon/wfo-0000966507,Fagus_sylvatica,herb,wood,P,NA,NA,NA,no,1
Festuca_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000870560,Festuca_gigantea,herb,perannual,H,NA,NA,NA,no,1
Filipendula_ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,Filipendula_ulmaria,herb,perannual,H,NA,NA,NA,no,11
Fraxinus_excelsior,http://www.worldfloraonline.org/taxon/wfo-0000832453,Fraxinus_excelsior,herb,wood,P,NA,NA,NA,no,12
Galium_aparine,http://www.worldfloraonline.org/taxon/wfo-0000968296,Galium_aparine,herb,annual,Tli,NA,NA,NA,no,2
Galium_mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,Galium_mollugo,herb,perannual,H,NA,NA,NA,no,10
Geranium_phaeum,http://www.worldfloraonline.org/taxon/wfo-0000701052,Geranium_phaeum,herb,perannual,H,NA,NA,NA,no,1
Geranium_robertianum,http://www.worldfloraonline.org/taxon/wfo-0000701246,Geranium_robertianum,herb,perannual_annual,T.H,NA,NA,NA,no,2
Geum_urbanum,http://www.worldfloraonline.org/taxon/wfo-0001013476,Geum_urbanum,herb,perannual,H,NA,NA,NA,no,2
Glechoma_hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,Glechoma_hederacea,herb,perannual,G.H,NA,NA,NA,no,6
Gymnadenia_odoratissima,http://www.worldfloraonline.org/taxon/wfo-0000976644,Gymnadenia_odoratissima,herb,perannual,G,BG,3,NA,no,2
Holcus_lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,Holcus_lanatus,herb,perannual,H,NA,NA,NA,no,10
Holcus_mollis,http://www.worldfloraonline.org/taxon/wfo-0000874519,Holcus_mollis,herb,perannual,G.H,NA,NA,NA,no,1
Humulus_lupulus,http://www.worldfloraonline.org/taxon/wfo-0000725866,Humulus_lupulus,herb,perannual,Hli,NA,NA,NA,no,4
Hypericum_hirsutum,http://www.worldfloraonline.org/taxon/wfo-0000727741,Hypericum_hirsutum,herb,perannual,H,NA,NA,NA,no,3
Hypericum_montanum,http://www.worldfloraonline.org/taxon/wfo-0000727974,Hypericum_montanum,herb,perannual,H,NA,NA,NA,no,2
Hypericum_tetrapterum,http://www.worldfloraonline.org/taxon/wfo-0000728383,Hypericum_tetrapterum,herb,perannual,H,NA,V,NA,no,2
Impatiens_glandulifera,http://www.worldfloraonline.org/taxon/wfo-0000730508,Impatiens_glandulifera,herb,annual,T,NA,NA,NA,yes,3
Impatiens_noli-tangere,http://www.worldfloraonline.org/taxon/wfo-0000730791,Impatiens_noli-tangere,herb,annual,T,NA,NA,NA,no,1
Knautia_dipsacifolia,http://www.worldfloraonline.org/taxon/wfo-0000356680,Knautia_dipsacifolia,herb,perannual,H,NA,NA,NA,no,3
Lamium_maculatum,http://www.worldfloraonline.org/taxon/wfo-0000222579,Lamium_maculatum,herb,perannual,H,NA,NA,NA,no,4
Lathyrus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000212701,Lathyrus_pratensis,herb,perannual,Hli,NA,NA,NA,no,5
Leucanthemum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000036932,Leucanthemum_vulgare,herb,perannual,H,NA,NA,NA,no,1
Ligustrum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000815984,Ligustrum_vulgare,herb,wood,N,NA,NA,NA,no,4
Lonicera_xylosteum,http://www.worldfloraonline.org/taxon/wfo-0000361644,Lonicera_xylosteum,herb,wood,N,NA,NA,NA,no,9
Lycopus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000231391,Lycopus_europaeus,herb,perannual,H.A,NA,NA,NA,no,1
Lysimachia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000442301,Lysimachia_vulgaris,herb,perannual,H,NA,NA,NA,no,2
Melica_nutans,http://www.worldfloraonline.org/taxon/wfo-0000879316,Melica_nutans,herb,perannual,G.H,NA,NA,NA,no,4
Mentha_aquatica,http://www.worldfloraonline.org/taxon/wfo-0000240328,Mentha_aquatica,herb,perannual,H.A,NA,NA,NA,no,5
Mentha_aquatica_x_spicata,NA,Mentha_aquatica_x_spicata,herb,NA,NA,NA,NA,NA,NA,1
