name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Koeleria pyramidata,http://www.worldfloraonline.org/taxon/wfo-0000877284,na,Poaceae,sub-grass,NA,V,NA,no,5320
Lactuca serriola,http://www.worldfloraonline.org/taxon/wfo-0000015140,na,Asteraceae,herb,NA,NA,NA,no,3000
Lathyrus pratensis,http://www.worldfloraonline.org/taxon/wfo-0000212701,na,Fabaceae,legume,NA,NA,NA,no,5400
Lathyrus sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000213824,na,Fabaceae,legume,NA,NA,NA,no,6110
Leontodon hispidus,http://www.worldfloraonline.org/taxon/wfo-0000018147,na,Asteraceae,herb,NA,NA,NA,no,5000
Lepidium ruderale,http://www.worldfloraonline.org/taxon/wfo-0000358755,na,Brassicaceae,herb,NA,NA,NA,no,3711
Leucanthemum vulgare,http://www.worldfloraonline.org/taxon/wfo-0000036932,na,Asteraceae,herb,NA,NA,NA,no,5420
Linaria vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000446438,na,Plantaginaceae,herb,NA,NA,NA,no,3540
Linum catharticum,http://www.worldfloraonline.org/taxon/wfo-0000363831,na,Linaceae,herb,BG,NA,NA,no,5410
Lolium perenne,http://www.worldfloraonline.org/taxon/wfo-0000878441,na,Poaceae,sub-grass,NA,NA,NA,no,5423
Lotus corniculatus,http://www.worldfloraonline.org/taxon/wfo-0000212180,na,Fabaceae,legume,NA,NA,NA,no,5000
Lysimachia nummularia,http://www.worldfloraonline.org/taxon/wfo-0000442792,na,Primulaceae,herb,NA,NA,NA,no,NA
Lysimachia vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000442301,na,Primulaceae,herb,NA,NA,NA,no,NA
Malva moschata,http://www.worldfloraonline.org/taxon/wfo-0000449199,na,Malvaceae,herb,NA,NA,3,no,5421
Matricaria chamomilla,http://www.worldfloraonline.org/taxon/wfo-0000003146,na,Asteraceae,herb,NA,NA,NA,no,3421
Medicago falcata,http://www.worldfloraonline.org/taxon/wfo-0000213426,na,Fabaceae,legume,NA,NA,NA,no,6112
Medicago lupulina,http://www.worldfloraonline.org/taxon/wfo-0000213454,na,Fabaceae,legume,NA,NA,NA,no,5322
Medicago minima,http://www.worldfloraonline.org/taxon/wfo-0000185370,na,Fabaceae,legume,NA,V,NA,no,NA
Medicago sativa,http://www.worldfloraonline.org/taxon/wfo-0000213468,na,Fabaceae,legume,NA,NA,NA,yes,NA
Melilotus officinalis,http://www.worldfloraonline.org/taxon/wfo-0000213864,na,Fabaceae,legume,NA,NA,NA,no,3542
Mentha longifolia,http://www.worldfloraonline.org/taxon/wfo-0000240918,na,Lamiaceae,herb,NA,NA,NA,no,3811
Mentha spicata,http://www.worldfloraonline.org/taxon/wfo-0000241390,NA,Lamiaceae,herb,NA,NA,NA,yes,0
Myosotis arvensis,http://www.worldfloraonline.org/taxon/wfo-0000367842,na,Boraginaceae,herb,NA,NA,NA,no,3400
Nardus stricta,http://www.worldfloraonline.org/taxon/wfo-0000881131,na,Poaceae,sub-grass,NA,V,NA,no,5110
Oenothera biennis,http://www.worldfloraonline.org/taxon/wfo-0000389564,na,Onagraceae,herb,NA,NA,NA,yes,3542
Onobrychis viciifolia,http://www.worldfloraonline.org/taxon/wfo-0000205013,na,Fabaceae,legume,NA,NA,NA,yes,5322
Ononis spinosa,http://www.worldfloraonline.org/taxon/wfo-0000183372,na,Fabaceae,legume,NA,NA,NA,no,5322
Ononis spinosa ssp procurrens,http://www.worldfloraonline.org/taxon/wfo-0000186975,Ononis_repens,Fabaceae,legume,NA,NA,NA,no,5322
Origanum vulgare,http://www.worldfloraonline.org/taxon/wfo-0000260765,na,Lamiaceae,herb,NA,NA,NA,no,6110
Orobanche,http://www.worldfloraonline.org/taxon/wfo-4000027206,na,Orobanchaceae,parasite,NA,NA,NA,no,NA
Papaver rhoeas,http://www.worldfloraonline.org/taxon/wfo-0000481006,na,Papaveraceae,herb,NA,NA,NA,no,3400
Parthenocissus inserta,http://www.worldfloraonline.org/taxon/wfo-0000476975,na,Vitaceae,liana,NA,NA,NA,yes,NA
Persicaria amphibia,http://www.worldfloraonline.org/taxon/wfo-0000488056,Polygonum_amphibium,Polygonaceae,herb,NA,NA,NA,no,1312
Peucedanum officinale,http://www.worldfloraonline.org/taxon/wfo-0000391810,na,Apiaceae,herb,NA,3,2,no,8423
Peucedanum oreoselinum,http://www.worldfloraonline.org/taxon/wfo-0000391827,na,Apiaceae,herb,NA,V,NA,no,6112
Phalaris arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000889610,na,Poaceae,top-grass,NA,NA,NA,no,1510
Phleum phleoides,http://www.worldfloraonline.org/taxon/wfo-0000890086,na,Poaceae,top-grass,NA,V,NA,no,5300
Phleum pratense,http://www.worldfloraonline.org/taxon/wfo-0000890092,na,Poaceae,top-grass,NA,NA,NA,no,5423
Phyteuma spicatum,http://www.worldfloraonline.org/taxon/wfo-0000816739,na,Poaceae,top-grass,NA,NA,NA,no,8430
Pilosella caespitosa,http://www.worldfloraonline.org/taxon/wfo-0000118413,Hieracium_caespitosum,Asteraceae,herb,NA,V,3,no,5000
Pilosella officinarum,http://www.worldfloraonline.org/taxon/wfo-0000068649,Hieracium_pilosella,Asteraceae,herb,NA,NA,NA,no,5000
Pilosella piloselloides,http://www.worldfloraonline.org/taxon/wfo-0000032468,Hieracium_piloselloides,Asteraceae,herb,NA,NA,NA,no,4441
Pimpinella major,http://www.worldfloraonline.org/taxon/wfo-0000391450,na,Apiaceae,herb,NA,NA,NA,no,5420
Pimpinella saxifraga,http://www.worldfloraonline.org/taxon/wfo-0000391166,na,Apiaceae,herb,NA,NA,NA,no,5300
Plantago lanceolata,http://www.worldfloraonline.org/taxon/wfo-0000486603,na,Plantaginaceae,herb,NA,NA,NA,no,5400
Plantago major ssp intermedia,http://www.worldfloraonline.org/taxon/wfo-0000745393,Plantago_intermedia,Plantaginaceae,herb,NA,NA,NA,no,3811
Plantago media,http://www.worldfloraonline.org/taxon/wfo-0000486573,na,Plantaginaceae,herb,NA,NA,NA,no,5000
Poa angustifolia,http://www.worldfloraonline.org/taxon/wfo-0000891510,na,Poaceae,sub-grass,NA,NA,NA,no,5300
Poa annua,http://www.worldfloraonline.org/taxon/wfo-0000891536,na,Poaceae,sub-grass,NA,NA,NA,no,NA
Poa compressa,http://www.worldfloraonline.org/taxon/wfo-0000892001,na,Poaceae,sub-grass,NA,NA,NA,no,3610
