year_site_plot,year,region,site,plot,treatment_original,treatment_weightedMonth,mean_temp_3month,mean_precip_3month,mean_temp_year_DWD,mean_precip_year_DWD,temp_longterm_cdc,precip_longterm_cdc,altitude,grassland_number,soil_type,soil_type_agrolab,pH,phosphorus,potassium,organic_substance,N_total_percent,CN_relation
2021_IS_B1_P1,2021,IS,IS_B1,IS_B1_P1,B_4a,wm_26,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P2,2021,IS,IS_B1,IS_B1_P2,B_ref,wm_36,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P3,2021,IS,IS_B1,IS_B1_P3,B_3a,wm_16,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P4,2021,IS,IS_B1,IS_B1_P4,B_4b,wm_30,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P5,2021,IS,IS_B1,IS_B1_P5,B_2,wm_20,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,122,13
2021_IS_B1_P6,2021,IS,IS_B1,IS_B1_P6,B_5,wm_48,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P7,2021,IS,IS_B1,IS_B1_P7,B_1a,wm_16,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_IS_B1_P8,2021,IS,IS_B1,IS_B1_P8,B_3b,wm_10,10.5,141.6,na,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2021_RIS_B1_P1,2021,WU,RIS_B1,RIS_B1_P1,B_4a,wm_26,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P2,2021,WU,RIS_B1,RIS_B1_P2,B_ref,wm_36,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P3,2021,WU,RIS_B1,RIS_B1_P3,B_3a,wm_16,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P4,2021,WU,RIS_B1,RIS_B1_P4,B_4b,wm_30,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P5,2021,WU,RIS_B1,RIS_B1_P5,B_2,wm_20,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P6,2021,WU,RIS_B1,RIS_B1_P6,B_5,wm_48,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P7,2021,WU,RIS_B1,RIS_B1_P7,B_1a,wm_16,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_RIS_B1_P8,2021,WU,RIS_B1,RIS_B1_P8,B_3b,wm_10,10.5,141.6,na,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2021_S_B1_P1,2021,WU,S_B1,S_B1_P1,B_4a,wm_26,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P2,2021,WU,S_B1,S_B1_P2,B_ref,wm_36,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P3,2021,WU,S_B1,S_B1_P3,B_3a,wm_16,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P4,2021,WU,S_B1,S_B1_P4,B_4b,wm_30,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P5,2021,WU,S_B1,S_B1_P5,B_2,wm_20,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P6,2021,WU,S_B1,S_B1_P6,B_5,wm_48,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P7,2021,WU,S_B1,S_B1_P7,B_1b,wm_14,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_S_B1_P8,2021,WU,S_B1,S_B1_P8,B_3b,wm_10,12.35,132,na,na,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2021_STS_B1_P1,2021,ST,STS_B1,STS_B1_P1,B_4a,wm_26,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P2,2021,ST,STS_B1,STS_B1_P2,B_ref,wm_36,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P3,2021,ST,STS_B1,STS_B1_P3,B_3a,wm_16,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P4,2021,ST,STS_B1,STS_B1_P4,B_4b,wm_30,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P5,2021,ST,STS_B1,STS_B1_P5,B_2,wm_20,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P6,2021,ST,STS_B1,STS_B1_P6,B_5,wm_48,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P7,2021,ST,STS_B1,STS_B1_P7,B_1b,wm_14,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STS_B1_P8,2021,ST,STS_B1,STS_B1_P8,B_3b,wm_10,10.29,120,na,na,7.4,1008,733,20,Braunerde-Pseudogley,MhSOM,6.3,12,4,28.6,1.15,14
2021_STW_B1_P1,2021,ST,STW_B1,STW_B1_P1,B_4a,wm_26,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P2,2021,ST,STW_B1,STW_B1_P2,B_ref,wm_36,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P3,2021,ST,STW_B1,STW_B1_P3,B_3a,wm_16,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P4,2021,ST,STW_B1,STW_B1_P4,B_4b,wm_30,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P5,2021,ST,STW_B1,STW_B1_P5,B_2,wm_20,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P6,2021,ST,STW_B1,STW_B1_P6,B_5,wm_48,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,140,16
2021_STW_B1_P7,2021,ST,STW_B1,STW_B1_P7,B_1b,wm_14,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B1_P8,2021,ST,STW_B1,STW_B1_P8,B_3b,wm_10,10.29,120,na,na,7.4,1008,728,39,Hochmoor,peat,4.7,4,5,39.2,1.4,16
2021_STW_B2_P1,2021,ST,STW_B2,STW_B2_P1,B_4a,wm_26,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P2,2021,ST,STW_B2,STW_B2_P2,B_ref,wm_36,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P3,2021,ST,STW_B2,STW_B2_P3,B_3a,wm_16,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P4,2021,ST,STW_B2,STW_B2_P4,B_4b,wm_30,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P5,2021,ST,STW_B2,STW_B2_P5,B_2,wm_20,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P6,2021,ST,STW_B2,STW_B2_P6,B_5,wm_48,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P7,2021,ST,STW_B2,STW_B2_P7,B_1b,wm_14,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_STW_B2_P8,2021,ST,STW_B2,STW_B2_P8,B_3b,wm_10,10.29,120,na,na,7.4,1008,726,39,Hochmoor,peat,5.3,2,2,36.1,1.45,14
2021_ZI_B1_P1,2021,WU,ZI_B1,ZI_B1_P1,B_4a,wm_26,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P2,2021,WU,ZI_B1,ZI_B1_P2,B_ref,wm_36,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P3,2021,WU,ZI_B1,ZI_B1_P3,B_3a,wm_16,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P4,2021,WU,ZI_B1,ZI_B1_P4,B_4b,wm_30,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P5,2021,WU,ZI_B1,ZI_B1_P5,B_2,wm_20,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P6,2021,WU,ZI_B1,ZI_B1_P6,B_5,wm_48,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P7,2021,WU,ZI_B1,ZI_B1_P7,B_1a,wm_16,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
2021_ZI_B1_P8,2021,WU,ZI_B1,ZI_B1_P8,B_3b,wm_10,10.5,141.6,na,na,7.6,990,650,23.5,Niedermoor,MhSOM,5.5,10,9,16.5,0.72,13
