species	1nograz.1	1nograz.2	1nograz.3	1nograz.4	1highgraz.1	1highgraz.2	1highgraz.3	1highgraz.4	1littlegraz.1	1littlegraz.2	1littlegraz.3	1littlegraz.4	2nograz.1	2nograz.2	2nograz.3	2nograz.4	2highgraz.1	2highgraz.2	2highgraz.3	2highgraz.4	2littlegraz.1	2littlegraz.2	2littlegraz.3	2littlegraz.4	3nograz.1	3nograz.2	3nograz.3	3nograz.4	3highgraz.1	3highgraz.2	3highgraz.3	3highgraz.4	3littlegraz.1	3littlegraz.2	3littlegraz.3	3littlegraz.4	4nograz.1	4nograz.2	4nograz.3	4nograz.4	4highgraz.1	4highgraz.2	4highgraz.3	4highgraz.4	4littlegraz.1	4littlegraz.2	4littlegraz.3	4littlegraz.4	5nograz.1	5nograz.2	5nograz.3	5nograz.4	5highgraz.1	5highgraz.2	5highgraz.3	5highgraz.4	5littlegraz.1	5littlegraz.2	5littlegraz.3	5littlegraz.4
Koelmacr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	27	12	87	30	0	0	0	0
Koelvall	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	77	0	0	0	21	75	0	0	14	0	0	0	51	9	24	23	46	0	23	38	0	0	0	0	2	0	61	81	0	0	21	21	0	0	0	0	0	0	0	25	0	0	12	0
Lavaangu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	4	0	1	1	0	70	84	4	6	3	9	26	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuzconi	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	8	21	0	8	2	0	5	6	0	0	0	20	14	0	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Linunarb	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	3	20	0	0	0	0	0	0	0	22
Linustri	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linutenu	0	0	0	0	0	0	0	0	0	0	0	0	39	67	2	1	1	0	0	0	45	80	0	2	0	0	0	0	74	20	40	1	0	43	22	0	0	0	0	0	0	0	70	42	0	0	75	18	0	0	0	0	0	0	0	0	0	0	0	31
Lithfrut	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	3	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	4	70	18	2	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lonipyre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lotucorn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	21	0	0	3	1	0	0	45	1	10	3	20	36	26	5	2	3	1	0	64	93	97	75	5	0	4	8
