species	veget	PH	TLA	SM	SLA	SLS	LH	P	LS	CGO	BB.D	BB.S
Potentilla_tabernaemontani	4	0.090833333	289	0.2375	12.53	NA	pnc	NA	NA	NA	4.75	20
Prunus_spinosa	5	1.952	472.25	22.6	14.06680023	NA	pnc	NA	NA	NA	10.5	30
Pulsatilla_grandis	1	0.1625	1823.625	3.16	32.5925	2	pnc	NA	NA	NA	4.75	20
Pyrethrum_corymbosum	3	0.6775	1093.88	0.51	17.42	2	pc	3.2	0.03	2	4.75	20
Ranunculus_illyricus	1	0.3775	NA	0.4456	NA	NA	pc	1.5	0.0675	1	3.5	10
Rapistrum_perenne	1	0.56125	NA	NA	NA	1	pnc	NA	NA	NA	4.75	20
Rumex_acetosa	4	0.5075	2014.9275	0.805833333	29.38949267	2	pc	3.666666666	0.025833333	1	4.636363636	18.33333333
Rumex_alpinus	5	0.4275	54369.75	NA	19.47	NA	pnc	NA	NA	NA	NA	NA
Rumex_crispus	1	0.640833333	6290	1.332	24.09688414	1	pnc	NA	NA	NA	8.906906906	37.8409091
Salix_alba	2	15.16666667	782.125	0.12	41.89367003	NA	pnc	NA	NA	NA	10.5	10
Salix_pentandra	2	6.333333333	1011	0.096	18.41860115	NA	pnc	NA	NA	NA	10.5	10
Salix_purpurea	3	2.166666667	NA	0.09	9.496676163	NA	pnc	NA	NA	NA	10.5	10
Salvia_nemorosa	1	0.35	1505	0.79	23.14	1	pnc	NA	NA	NA	4.333333333	15
Salvia_pratensis	1	0.440833333	6575.938	2.66162	25.32666667	1	pnc	NA	NA	NA	4.636363636	18.33333333
Salvia_verticillata	3	0.3	2345.5	0.837	14.97	1	pnc	NA	NA	NA	4.5	16.66666667
Sanguisorba_minor	1	0.209166667	3124.25	2.906583334	20.50016667	2	pnc	NA	NA	NA	4.75	20
Sanguisorba_officinalis	3	0.4775	2372.666667	2.133777778	22.08384075	1	pc	4	0.025833333	0.5	4.75	20
Saxifraga_rosacea_ssp._sponhemica	3	0.2	NA	NA	NA	2	pc	4	0.0675	1	1	15
Scabiosa_lucida	1	0.1775	NA	NA	NA	2	pnc	NA	NA	NA	4.75	20
Scirpus_sylvaticus	4	0.7775	6962.625	0.13024	22.385	2	pc	4	0.213	4	4.75	20
Selinum_carvifolia	1	0.481666667	6043.335	1.394	18.79333333	2	pc	4	0.005	1	4.75	20
Senecio_sarracenicus	4	1.125	NA	NA	NA	1	pc	2	0.13	6	4.75	20
Serratula_lycopifolia	3	0.75	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Silaum_silaus	3	0.481666667	5888	1.1215	17.43333333	2	pnc	NA	NA	NA	8.75	40
Stachys_germanica	1	0.490833333	NA	1.420976	22.1	2	pnc	NA	NA	NA	3.5	10
Stipa_pulcherrima	3	0.75	541.25	NA	8.38	2	pc	4	0.005	6	3.5	10
Stipa_tirsa	3	0.65	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Succisa_pratensis	3	0.340833333	4860.666667	1.2866	17.95666667	1	pc	2.666666666	0.022857143	1.500000001	4.636363636	18.33333333
Tetragonolobus_maritimus	1	0.25	392.5	2.881111111	18.56333333	2	pnc	NA	NA	NA	4.333333333	15
Thalictrum_aquilegiifolium	3	0.6775	44940	NA	34.27	1	pc	1.5	0.005	1	6	5
Thalictrum_flavum	4	0.6	32542.5	0.7805	26.1	1	pc	2	0.13	1	4.75	20
Tragopogon_orientalis	1	0.4	1731.5	8.92	30.81	2	a	NA	NA	NA	9.886435331	28.30357143
Trifolium_fragiferum	4	0.18875	192	1.291025	25.23653004	1	pc	1.666666667	0.168571429	1.750000001	1	15
