name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n
Filipendula_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000999867,na,Rosaceae,herb,NA,3,3,no,8423,7,6,5,3,1,8,2
Foeniculum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000691487,NA,Apiaceae,herb,NA,NA,NA,no,0,NA,NA,NA,NA,NA,NA,NA
Fragaria_vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,na,Rosaceae,herb,NA,NA,NA,no,6200,7,NA,5,5,NA,NA,6
Fragaria_viridis,http://www.worldfloraonline.org/taxon/wfo-0001007688,NA,Rosaceae,herb,NA,NA,NA,no,0,7,5,5,3,no,8,3
Galium_mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,na,Rubiaceae,herb,NA,D,NA,no,5421,7,6,3,4,NA,7,NA
Galium_verum,http://www.worldfloraonline.org/taxon/wfo-0000970562,na,Rubiaceae,herb,NA,NA,NA,no,5300,7,6,NA,4,1,7,3
Geranium_dissectum,http://www.worldfloraonline.org/taxon/wfo-0000700368,na,Geraniaceae,herb,NA,NA,NA,no,3311,6,6,3,5,NA,8,5
Geranium_molle,http://www.worldfloraonline.org/taxon/wfo-0000700868,na,Geraniaceae,herb,NA,NA,NA,no,5423,7,6,3,4,NA,5,4
Geranium_pratense,http://www.worldfloraonline.org/taxon/wfo-0000701108,na,Geraniaceae,herb,NA,NA,NA,no,5421,8,6,5,5,NA,8,7
Geranium_pusillum,http://www.worldfloraonline.org/taxon/wfo-0000701157,na,Geraniaceae,herb,NA,NA,NA,no,3300,7,6,5,4,NA,NA,7
Geranium_pyrenaicum,http://www.worldfloraonline.org/taxon/wfo-0000701169,na,Geraniaceae,herb,NA,NA,NA,yes,3500,8,6,4,5,NA,7,8
Geum_urbanum,http://www.worldfloraonline.org/taxon/wfo-0001013476,na,Rosaceae,herb,NA,NA,NA,no,8430,4,5,5,5,NA,NA,7
Glechoma_hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,na,Lamiaceae,herb,NA,NA,NA,no,3530,6,6,3,6,NA,NA,7
Helianthemum_nummularium,http://www.worldfloraonline.org/taxon/wfo-0000717621,na,Cistaceae,herb,NA,3,3,no,5300,7,6,4,3,NA,7,1
Helictotrichon_pubescens,http://www.worldfloraonline.org/taxon/wfo-0000873950,Avenochloa_pubescens,Poaceae,top-grass,NA,NA,NA,no,5420,5,NA,3,NA,NA,NA,4
Heracleum_sphondylium,http://www.worldfloraonline.org/taxon/wfo-0000720220,na,Apiaceae,herb,NA,NA,NA,no,5420,7,5,2,5,NA,NA,8
Hippocrepis_comosa,http://www.worldfloraonline.org/taxon/wfo-0000213796,na,Fabaceae,legume,NA,V,NA,no,5320,7,5,2,3,NA,7,2
Holcus_lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,na,Poaceae,sub-grass,NA,NA,NA,no,5400,7,6,3,6,NA,NA,4
Hypericum_perforatum,http://www.worldfloraonline.org/taxon/wfo-0000728093,na,Hypericaceae,herb,NA,NA,NA,no,6100,7,6,5,4,NA,6,3
Hypochaeris_radicata,http://www.worldfloraonline.org/taxon/wfo-0000074809,na,Asteraceae,herb,NA,NA,NA,no,5000,8,5,3,5,NA,4,3
Jacobaea_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000031875,Senecio_jacobaea,Asteraceae,herb,NA,NA,NA,no,5423,8,5,3,4,1,7,5
