"sla" "height" "sm" "log_sla" "log_height" "log_sm"
"Laserpitium latifolium" 13.75 0.7 8.2166 2.62103882411258 -0.356674943938732 2.10615649819741
"Thymus praecox" 13.77 0.07 0.179166667 2.62249231274056 -2.65926003693278 -1.71943880578796
"Ranunculus glacialis" 13.77670028 0.07 0.35 2.62297877972674 -2.65926003693278 -1.04982212449868
"Carex acuta" 13.77861194 0.9 0.424666667 2.62311753046836 -0.105360515657826 -0.856450730733209
"Verbascum lychnitis" 13.78 0.87875 0.119466667 2.62321826558551 -0.129254835857262 -2.12471788375929
"Carex elata" 13.81 0.9 0.75559 2.6253929674212 -0.105360515657826 -0.280256377957976
"Corynephorus canescens" 13.8175 0.075 2.03612 2.62593590472528 -2.59026716544583 0.711046036047703
"Osmunda regalis" 13.83 1 NA 2.62684014567667 0 NA
"Silene acaulis" 13.85 0.026 0.309808791 2.62828523263335 -3.64965874096066 -1.17179997503012
"Huperzia selago" 13.85 0.125 1e-04 2.62828523263335 -2.07944154167984 -9.21034037197618
"Scorzonera hispanica" 13.88 0.875 7.638133333 2.63044895507866 -0.133531392624523 2.03315324518409
"Quercus rubra" 13.8899105 25 3360.1 2.63116271326097 3.2188758248682 8.11972601441913
"Carex diandra" 13.9 0.4 0.4233 2.63188884013665 -0.916290731874155 -0.859674131455259
"Halimione portulacoides" 13.9 0.625 3.544872727 2.63188884013665 -0.470003629245736 1.26550225722394
"Poa alpina" 13.95 0.1025 0.431111111 2.63547950826737 -2.27789248040367 -0.841389423958769
"Sedum sexangulare" 13.98 0.1575 0.01 2.63762773680566 -1.84832982071645 -4.60517018598809
"Polystichum aculeatum" 13.98666667 0.8 NA 2.63810449509831 -0.22314355131421 NA
"Blysmus compressus" 14.01 0.25 0.590333333 2.63977136034892 -1.38629436111989 -0.527067930432066
"Brassica elongata" 14.02 0.4525 0.619 2.64048488160644 -0.792967515842156 -0.479650006297541
"Trinia glauca" 14.035 0.123333333 1.840109091 2.64155420981385 -2.09286456471468 0.609824858450352
"Galium glaucum" 14.04 0.425 1.577 2.64191039859766 -0.85566611005772 0.455524307980901
"Lycium barbarum" 14.095 2.166666667 NA 2.64582012456608 0.773189888387328 NA
"Sedum alpestre" 14.1 0.055 NA 2.64617479738412 -2.90042209374967 NA
"Torilis nodosa" 14.13 0.3625 1.4888 2.64830019669644 -1.01473080468741 0.397970426345904
"Carthamus tinctorius" 14.15 0.8275 26.152 2.64971462408925 -0.189346171730919 3.26392566942191
"Alchemilla alpina" 14.1625 0.0924 0.287822222 2.65059762635412 -2.3816283003345 -1.24541227416707
